date,volume,open,close,high,low,symbol
2005-01-03,12362231.0,64.78,63.29,65.11,62.6,AAPL
2005-01-04,19592738.0,63.8,63.94,65.47,62.97,AAPL
2005-01-05,12155876.0,64.35,64.5,65.25,64.05,AAPL
2005-01-06,12573964.0,64.685,64.55,64.91,63.33,AAPL
2005-01-07,39909888.0,65.0,69.25,69.63,64.75,AAPL
2005-01-10,30991290.0,69.9,68.96,70.7,67.88,AAPL
2005-01-11,46693943.0,68.26,64.56,69.15,64.14,AAPL
2005-01-12,36222702.0,65.35,65.46,65.9,63.3,AAPL
2005-01-13,56575611.0,73.65,69.8,74.42,69.73,AAPL
2005-01-14,31378750.0,70.2,70.2,71.72,69.19,AAPL
2005-01-18,17953804.0,69.74,70.65,70.7,69.21,AAPL
2005-01-19,13521549.0,70.49,69.88,71.46,69.75,AAPL
2005-01-20,16315047.0,69.65,70.46,71.27,69.47,AAPL
2005-01-21,16271721.0,71.22,70.49,71.6,70.0,AAPL
2005-01-24,15066057.0,70.98,70.76,71.78,70.55,AAPL
2005-01-25,17325964.0,71.41,72.05,72.84,70.94,AAPL
2005-01-26,13271403.0,72.68,72.25,72.75,71.22,AAPL
2005-01-27,8870664.0,72.16,72.64,72.92,71.55,AAPL
2005-01-28,14324548.0,72.62,73.98,73.98,72.44,AAPL
2005-01-31,30054479.0,74.58,76.9,77.89,74.51,AAPL
2005-02-01,12140065.0,77.05,77.53,77.77,76.58,AAPL
2005-02-02,18296123.0,77.95,79.63,79.91,77.69,AAPL
2005-02-03,13089041.0,79.1,77.81,79.43,77.33,AAPL
2005-02-04,10065775.0,77.87,78.84,78.93,77.53,AAPL
2005-02-07,9399938.0,78.93,78.94,79.35,77.5,AAPL
2005-02-08,15886555.0,79.07,80.9,81.38,78.79,AAPL
2005-02-09,21270737.0,81.04,78.74,81.99,78.1,AAPL
2005-02-10,19518563.0,78.72,78.36,79.28,76.66,AAPL
2005-02-11,21467271.0,79.86,81.21,81.76,78.94,AAPL
2005-02-14,22717512.0,82.73,84.63,84.79,82.05,AAPL
2005-02-15,41430315.0,86.66,88.41,89.08,86.0,AAPL
2005-02-16,29271554.0,88.15,90.13,90.2,87.35,AAPL
2005-02-17,27163346.0,90.65,87.81,90.88,87.45,AAPL
2005-02-18,20774208.0,87.74,86.81,87.86,86.25,AAPL
2005-02-22,21787954.0,86.3,85.29,88.3,85.29,AAPL
2005-02-23,24015245.0,86.72,88.23,88.45,85.55,AAPL
2005-02-24,27228787.0,88.48,88.93,89.31,87.73,AAPL
2005-02-25,16351156.0,89.62,88.99,89.91,88.19,AAPL
