ticker,name,market,locale,currency,active,primaryExch,updated,codes,url,type
ACCMF,AAC CLYDE SPACE Common Stock,STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000072038137', 'scfigi': 'BBG0077N8Z46', 'cfigi': 'BBG00NB029G7', 'figi': 'BBG00NB029X8'}",https://api.polygon.io/v2/tickers/ACCMF,
ACCO,Acco Brands Corporation,STOCKS,US,USD,True,NYE,2020-06-23,"{'cik': '0000712034', 'figiuid': 'EQ0000000001910217', 'scfigi': 'BBG001SPBTK3', 'cfigi': 'BBG000J06K07', 'figi': 'BBG000J06ND7'}",https://api.polygon.io/v2/tickers/ACCO,
ACCR,"Access-Power & Co, Inc. Common Stock",STOCKS,US,USD,True,OTC,2020-06-23,"{'cik': '0001041588', 'figiuid': 'EQ0031318700001000', 'scfigi': 'BBG001S5WSH0', 'cfigi': 'BBG000BBRX00', 'figi': 'BBG000BBS323'}",https://api.polygon.io/v2/tickers/ACCR,
ACCS,African Copper Corp,STOCKS,US,USD,True,OTO,2020-06-23,"{'figiuid': 'EQ0000000019498053', 'scfigi': 'BBG001YT1H43', 'cfigi': 'BBG001YT1GC6', 'figi': 'BBG001YT1GC6'}",https://api.polygon.io/v2/tickers/ACCS,
ACCU,AdvisorShares Accuvest Global Opportunities ETF,STOCKS,US,USD,False,ARCA,2020-06-23,"{'figiuid': 'EQ0000000021860022', 'scfigi': 'BBG002G0TB56', 'cfigi': 'BBG002G0T9F0', 'figi': 'BBG002G0T9L3'}",https://api.polygon.io/v2/tickers/ACCU,
ACCYY,Accor S A American Depositary Receipts - Sponsored (France),STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000041395942', 'scfigi': 'BBG00878HBS4', 'cfigi': 'BBG00878H9Z1', 'figi': 'BBG00878HBG7'}",https://api.polygon.io/v2/tickers/ACCYY,
ACDSF,Ascendas Real Estate Investment Trust Units,STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000000550031', 'scfigi': 'BBG001SK0ZT3', 'cfigi': 'BBG000M0JR22', 'figi': 'BBG000M0L572'}",https://api.polygon.io/v2/tickers/ACDSF,
ACDU,Accredited Business Consolidators Corp,STOCKS,US,USD,True,CVEM,2020-06-23,"{'cik': '0000933425', 'figiuid': 'EQ0017127500001000', 'scfigi': 'BBG001S99N16', 'cfigi': 'BBG000HM37Y6', 'figi': 'BBG000HM37Y6'}",https://api.polygon.io/v2/tickers/ACDU,
ACDVF,Air Canada Inc Vtg & Var Vtg Shares (Canada),STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000038792798', 'scfigi': 'BBG001SRFYR7', 'cfigi': 'BBG007HLSVZ2', 'figi': 'BBG007HLSWG1'}",https://api.polygon.io/v2/tickers/ACDVF,
ACEEU,Ace Ethanol LLC Unit,STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000017559514', 'scfigi': 'BBG001V1GJP4', 'cfigi': 'BBG001QG7LY2', 'figi': 'BBG001QG7MF1'}",https://api.polygon.io/v2/tickers/ACEEU,
ACEHF,Ace Hardware Indonesia Tbk Ordinary Shares (Indonesia),STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000011321759', 'scfigi': 'BBG001T07K67', 'cfigi': 'BBG0016Q19M8', 'figi': 'BBG0016Q19M8'}",https://api.polygon.io/v2/tickers/ACEHF,
ACEJF,ACEA S.P.A. SHS (Italy),STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0032849200001003', 'scfigi': 'BBG001S7V0B4', 'cfigi': 'BBG000FZ2FJ9', 'figi': 'BBG000FZ2SH3'}",https://api.polygon.io/v2/tickers/ACEJF,
ACEL,"Accel Entertainment, Inc.",STOCKS,US,USD,True,NYE,2020-06-23,"{'figiuid': 'EQ0000000057332664', 'scfigi': 'BBG00GX221Z0', 'cfigi': 'BBG00GX221W3', 'figi': 'BBG00GX23063'}",https://api.polygon.io/v2/tickers/ACEL,
ACEL.WS,"Accel Entertainment, Inc. Warrant, to purchase one Class A-1 Common Stock at an exercise price of $1",STOCKS,US,USD,True,NYE,2020-06-23,"{'figiuid': 'EQ0000000057353510', 'cfigi': 'BBG00GX7LX60', 'figi': 'BBG00HDK1QR5'}",https://api.polygon.io/v2/tickers/ACEL.WS,
ACENY,ASCENTIAL PLC American Depositary Receipts - Unsponsored,STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000081527038', 'scfigi': 'BBG00RFD4055', 'cfigi': 'BBG00RFD3ZF8', 'figi': 'BBG00RFD3ZW9'}",https://api.polygon.io/v2/tickers/ACENY,
ACER,Acer Therapeutics Inc. Common Stock (DE),STOCKS,US,USD,True,NASDAQ,2020-06-23,"{'cik': '0001069308', 'figiuid': 'EQ0089840400001000', 'scfigi': 'BBG001S7Q351', 'cfigi': 'BBG000BG5S59', 'figi': 'BBG000BG5ZN3'}",https://api.polygon.io/v2/tickers/ACER,
ACERF,AM Gold Inc,STOCKS,US,USD,True,OTO,2020-06-23,,https://api.polygon.io/v2/tickers/ACERF,
ACERW,Acer Therapeutics Inc,STOCKS,US,USD,False,NSC,2020-06-23,"{'cik': '0001069308', 'figiuid': 'EQ0000000042324243', 'cfigi': 'BBG008GZMLZ8', 'figi': 'BBG008GZMMK2'}",https://api.polygon.io/v2/tickers/ACERW,
ACES,ALPS Clean Energy ETF,STOCKS,US,USD,True,BATS,2020-06-23,"{'figiuid': 'EQ0000000066020159', 'scfigi': 'BBG00L99FDK7', 'cfigi': 'BBG00L99FCT0', 'figi': 'BBG00L99FDD5'}",https://api.polygon.io/v2/tickers/ACES,
ACET,"Adicet Bio, Inc. Common Stock",STOCKS,US,USD,True,NASDAQ,2020-06-23,"{'figiuid': 'EQ0010184000001000', 'scfigi': 'BBG001S5NB78', 'cfigi': 'BBG000BB0S19', 'figi': 'BBG000BB0S19'}",https://api.polygon.io/v2/tickers/ACET,
ACETQ,Aceto Corp.,STOCKS,US,USD,False,OTO,2020-06-23,"{'figiuid': 'EQ0010184000001000', 'scfigi': 'BBG001S5NB78', 'cfigi': 'BBG000BB0S19', 'figi': 'BBG000BB0S19'}",https://api.polygon.io/v2/tickers/ACETQ,
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,STOCKS,US,USD,True,NASDAQ,2020-09-18,,https://api.polygon.io/v2/tickers/ACEV,
ACEVU,ACE Convergence Acquisition Corp. Unit,STOCKS,US,USD,True,NASDAQ,2020-07-29,,https://api.polygon.io/v2/tickers/ACEVU,
ACEVW,ACE Convergence Acquisition Corp. Warrant,STOCKS,US,USD,True,NASDAQ,2020-09-18,,https://api.polygon.io/v2/tickers/ACEVW,
ACEXF,SEVEN ACES LTD  Ordinary Shares,STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000035627238', 'scfigi': 'BBG001S7BYW9', 'cfigi': 'BBG006KZR9G0', 'figi': 'BBG006KZR9Y0'}",https://api.polygon.io/v2/tickers/ACEXF,
ACEYY,"Acer, Inc. (New) Sponsored Global Depository Receipt Reg S (Taiwan)",STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000000144765', 'scfigi': 'BBG001S8G3Y8', 'cfigi': 'BBG000JFRV43', 'figi': 'BBG000JFV8C0'}",https://api.polygon.io/v2/tickers/ACEYY,
ACEZ,"Ariel Clean Energy, Inc. Common Stock",STOCKS,US,USD,True,OTC,2020-06-23,"{'cik': '0000946283', 'figiuid': 'EQ0086853700001000', 'scfigi': 'BBG001SCBGC9', 'cfigi': 'BBG000BPZHB3', 'figi': 'BBG000BPZP70'}",https://api.polygon.io/v2/tickers/ACEZ,
ACFC,Atlantic Coast Financial Corp,STOCKS,US,USD,False,NSD,2020-06-23,"{'cik': '0001404296', 'figiuid': 'EQ0000000000045395', 'scfigi': 'BBG001SB3C66', 'cfigi': 'BBG000BP23H4', 'figi': 'BBG000BP2HW6'}",https://api.polygon.io/v2/tickers/ACFC,
ACFFF,Accordia Golf Tr Unit (Singapore),STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000037633551', 'scfigi': 'BBG0068HQ3B3', 'cfigi': 'BBG0076D6CH8', 'figi': 'BBG0076D6CH8'}",https://api.polygon.io/v2/tickers/ACFFF,
ACFL,"AMC Financial Holdings, Inc. Common Stock",STOCKS,US,BDT,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000065049273', 'scfigi': 'BBG00KXJ1H35', 'cfigi': 'BBG00KXJ1H08', 'figi': 'BBG00KXJ1H17'}",https://api.polygon.io/v2/tickers/ACFL,
ACFN,"Acorn Energy, Inc.",STOCKS,US,USD,True,OTC,2020-06-23,"{'cik': '0000880984', 'figiuid': 'EQ0010346600001000', 'scfigi': 'BBG001S6ZZ25', 'cfigi': 'BBG000CMY866', 'figi': 'BBG000CMZLD8'}",https://api.polygon.io/v2/tickers/ACFN,
