ticker,name,market,locale,currency,active,primaryExch,updated,codes,url,type
ACCO,Acco Brands Corporation,STOCKS,US,USD,True,NYE,2020-06-23,"{'cik': '0000712034', 'figiuid': 'EQ0000000001910217', 'scfigi': 'BBG001SPBTK3', 'cfigi': 'BBG000J06K07', 'figi': 'BBG000J06ND7'}",https://api.polygon.io/v2/tickers/ACCO,
ACCU,AdvisorShares Accuvest Global Opportunities ETF,STOCKS,US,USD,False,ARCA,2020-06-23,"{'figiuid': 'EQ0000000021860022', 'scfigi': 'BBG002G0TB56', 'cfigi': 'BBG002G0T9F0', 'figi': 'BBG002G0T9L3'}",https://api.polygon.io/v2/tickers/ACCU,
ACEL,"Accel Entertainment, Inc.",STOCKS,US,USD,True,NYE,2020-06-23,"{'figiuid': 'EQ0000000057332664', 'scfigi': 'BBG00GX221Z0', 'cfigi': 'BBG00GX221W3', 'figi': 'BBG00GX23063'}",https://api.polygon.io/v2/tickers/ACEL,
ACEL.WS,"Accel Entertainment, Inc. Warrant, to purchase one Class A-1 Common Stock at an exercise price of $1",STOCKS,US,USD,True,NYE,2020-06-23,"{'figiuid': 'EQ0000000057353510', 'cfigi': 'BBG00GX7LX60', 'figi': 'BBG00HDK1QR5'}",https://api.polygon.io/v2/tickers/ACEL.WS,
ACER,Acer Therapeutics Inc. Common Stock (DE),STOCKS,US,USD,True,NASDAQ,2020-06-23,"{'cik': '0001069308', 'figiuid': 'EQ0089840400001000', 'scfigi': 'BBG001S7Q351', 'cfigi': 'BBG000BG5S59', 'figi': 'BBG000BG5ZN3'}",https://api.polygon.io/v2/tickers/ACER,
ACERW,Acer Therapeutics Inc,STOCKS,US,USD,False,NSC,2020-06-23,"{'cik': '0001069308', 'figiuid': 'EQ0000000042324243', 'cfigi': 'BBG008GZMLZ8', 'figi': 'BBG008GZMMK2'}",https://api.polygon.io/v2/tickers/ACERW,
ACES,ALPS Clean Energy ETF,STOCKS,US,USD,True,BATS,2020-06-23,"{'figiuid': 'EQ0000000066020159', 'scfigi': 'BBG00L99FDK7', 'cfigi': 'BBG00L99FCT0', 'figi': 'BBG00L99FDD5'}",https://api.polygon.io/v2/tickers/ACES,
ACET,"Adicet Bio, Inc. Common Stock",STOCKS,US,USD,True,NASDAQ,2020-06-23,"{'figiuid': 'EQ0010184000001000', 'scfigi': 'BBG001S5NB78', 'cfigi': 'BBG000BB0S19', 'figi': 'BBG000BB0S19'}",https://api.polygon.io/v2/tickers/ACET,
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,STOCKS,US,USD,True,NASDAQ,2020-09-18,,https://api.polygon.io/v2/tickers/ACEV,
ACEVU,ACE Convergence Acquisition Corp. Unit,STOCKS,US,USD,True,NASDAQ,2020-07-29,,https://api.polygon.io/v2/tickers/ACEVU,
